slf_file,obs_file,test_file,slf_condition,slf_pair_pat,slf_order_pat,slf_conf_pat,slf_reward_left,slf_reward_right,obs_condition,obs_pair_pat,obs_order_pat,obs_conf_pat,obs_reward_left,obs_reward_right,obs_pos_chosen,obs_conf,obs_reward,obs_img_time,obs_conf_time,test_condition,test_pair_pat,test_order_pat,test_conf_pat,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,SlfSequence.thisRepN,SlfSequence.thisTrialN,SlfSequence.thisN,SlfSequence.thisIndex,SlfSkip.thisRepN,SlfSkip.thisTrialN,SlfSkip.thisN,SlfSkip.thisIndex,ObsSequence.thisRepN,ObsSequence.thisTrialN,ObsSequence.thisN,ObsSequence.thisIndex,TestSequence.thisRepN,TestSequence.thisTrialN,TestSequence.thisN,TestSequence.thisIndex,TestSkip.thisRepN,TestSkip.thisTrialN,TestSkip.thisN,TestSkip.thisIndex,STANDBY_TEXT.started,STANDBY_RESP.started,STANDBY_RESP.keys,STANDBY_RESP.rt,SLF_INSTR.started,SLF_IMG_FIX.started,SLF_IMG_LEFT.started,SLF_IMG_RIGHT.started,SLF_IMG_RESP.started,SLF_IMG_RESP.keys,SLF_IMG_RESP.corr,SLF_IMG_RESP.rt,SLF_IMGFB_FIX.started,SLF_IMGFB_FRAME.started,SLF_IMGFB_IMG_LEFT.started,SLF_IMGFB_IMG_RIGHT.started,SLF_IMGFB_FIX.stopped,SLF_IMGFB_FRAME.stopped,SLF_IMGFB_IMG_LEFT.stopped,SLF_IMGFB_IMG_RIGHT.stopped,SLF_CONF_FIX.started,SLF_CONF_LOW_BOX.started,SLF_CONF_LOW_TEXT.started,SLF_CONF_HIGH_BOX.started,SLF_CONF_HIGH_TEXT.started,SLF_CONF_RESP.started,SLF_CONF_RESP.keys,SLF_CONF_RESP.rt,SLF_CONFFB_FIX.started,SLF_CONFFB_FRAME.started,SLF_CONFFB_LOW_BOX.started,SLF_CONFFB_LOW_TEXT.started,SLF_CONFFB_HIGH_BOX.started,SLF_CONFFB_HIGH_TEXT.started,SLF_CONFFB_FIX.stopped,SLF_CONFFB_FRAME.stopped,SLF_CONFFB_LOW_BOX.stopped,SLF_CONFFB_LOW_TEXT.stopped,SLF_CONFFB_HIGH_BOX.stopped,SLF_CONFFB_HIGH_TEXT.stopped,SLF_REWARD_FRAME.started,SLF_REWARD_IMG_LEFT.started,SLF_REWARD_IMG_RIGHT.started,SLF_REWARD_TEXT.started,SLF_REWARD_FRAME.stopped,SLF_REWARD_IMG_LEFT.stopped,SLF_REWARD_IMG_RIGHT.stopped,SLF_REWARD_TEXT.stopped,OBS_INSTR.started,OBS_IMG_FIX.started,OBS_IMG_LEFT.started,OBS_IMG_RIGHT.started,OBS_IMGFB_FRAME.started,OBS_IMGFB_FRAME.stopped,OBS_IMG_LEFT.stopped,OBS_IMG_RIGHT.stopped,OBS_IMG_FIX.stopped,OBS_CONF_FIX.started,OBS_CONF_LOW_BOX.started,OBS_CONF_LOW_TEXT.started,OBS_CONF_HIGH_BOX.started,OBS_CONF_HIGH_TEXT.started,OBS_CONFFB_FRAME.started,OBS_CONFFB_FRAME.stopped,OBS_CONF_FIX.stopped,OBS_CONF_LOW_BOX.stopped,OBS_CONF_LOW_TEXT.stopped,OBS_CONF_HIGH_BOX.stopped,OBS_CONF_HIGH_TEXT.stopped,OBS_REWARD_FRAME.started,OBS_REWARD_IMG_LEFT.started,OBS_REWARD_IMG_RIGHT.started,OBS_REWARD_TEXT.started,OBS_REWARD_FRAME.stopped,OBS_REWARD_IMG_LEFT.stopped,OBS_REWARD_IMG_RIGHT.stopped,OBS_REWARD_TEXT.stopped,TEST_INSTR.started,TEST_IMG_FIX.started,TEST_IMG_LEFT.started,TEST_IMG_RIGHT.started,TEST_IMG_RESP.started,TEST_IMG_RESP.keys,TEST_IMG_RESP.corr,TEST_IMG_RESP.rt,TEST_IMGFB_FIX.started,TEST_IMGFB_FRAME.started,TEST_IMGFB_IMG_LEFT.started,TEST_IMGFB_IMG_RIGHT.started,TEST_IMGFB_FIX.stopped,TEST_IMGFB_FRAME.stopped,TEST_IMGFB_IMG_LEFT.stopped,TEST_IMGFB_IMG_RIGHT.stopped,TEST_CONF_FIX.started,TEST_CONF_LOW_BOX.started,TEST_CONF_LOW_TEXT.started,TEST_CONF_HIGH_BOX.started,TEST_CONF_HIGH_TEXT.started,TEST_CONF_RESP.started,TEST_CONF_RESP.keys,TEST_CONF_RESP.rt,TEST_CONFFB_FIX.started,TEST_CONFFB_FRAME.started,TEST_CONFFB_LOW_BOX.started,TEST_CONFFB_LOW_TEXT.started,TEST_CONFFB_HIGH_BOX.started,TEST_CONFFB_HIGH_TEXT.started,TEST_CONFFB_FIX.stopped,TEST_CONFFB_FRAME.stopped,TEST_CONFFB_LOW_BOX.stopped,TEST_CONFFB_LOW_TEXT.stopped,TEST_CONFFB_HIGH_BOX.stopped,TEST_CONFFB_HIGH_TEXT.stopped,TEST_REWARD_FRAME.started,TEST_REWARD_IMG_LEFT.started,TEST_REWARD_IMG_RIGHT.started,TEST_REWARD_TEXT.started,TEST_REWARD_FRAME.stopped,TEST_REWARD_IMG_LEFT.stopped,TEST_REWARD_IMG_RIGHT.stopped,TEST_REWARD_TEXT.stopped,TEST_IMG_LEFT.stopped,TEST_IMG_RIGHT.stopped,TEST_IMG_RESP.stopped,TEST_IMG_FIX.stopped,BLOCK_REST_TEXT.started,BLOCK_REST_SKIP.started,BLOCK_REST_SKIP.keys,BLOCK_REST_SKIP.rt,APPRECIATION.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.58998141705524,16.58998141705524,space,1.7123111659893766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shiga,2023-06-28_15h37.43.624,Pattern_1,2022.2.4,None,
slfT.xlsx,obsT.xlsx,testT.xlsx,0,2,2,1,17,39,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,21.3790431250236,23.40838358399924,23.84418162505608,23.84418162505608,23.84418162505608,right,0,1.4956050819600932,25.82346825004788,25.82346825004788,25.82346825004788,25.82346825004788,26.822036750032566,26.822036750032566,26.822036750032566,26.822036750032566,26.822036750032566,26.822036750032566,26.822036750032566,26.822036750032566,26.822036750032566,26.822036750032566,left,1.6886890819878317,28.529233459034003,28.529233459034003,28.529233459034003,28.529233459034003,28.529233459034003,28.529233459034003,29.562131667044014,29.562131667044014,29.562131667044014,29.562131667044014,29.562131667044014,29.562131667044014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shiga,2023-06-28_15h37.43.624,Pattern_1,2022.2.4,None,
slfT.xlsx,obsT.xlsx,testT.xlsx,0,2,2,1,17,39,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.562131667044014,29.562131667044014,29.562131667044014,29.562131667044014,31.595480209041853,31.595480209041853,31.595480209041853,31.595480209041853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shiga,2023-06-28_15h37.43.624,Pattern_1,2022.2.4,None,
slfT.xlsx,obsT.xlsx,testT.xlsx,0,3,1,1,47,18,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,31.595480209041853,32.073745875037275,32.073745875037275,32.073745875037275,left,0,2.252101623977069,34.39040470903274,34.39040470903274,34.39040470903274,34.39040470903274,35.383903500041924,35.383903500041924,35.383903500041924,35.383903500041924,35.383903500041924,35.383903500041924,35.383903500041924,35.383903500041924,35.383903500041924,35.383903500041924,left,1.261477708001621,36.66183408402139,36.66183408402139,36.66183408402139,36.66183408402139,36.66183408402139,36.66183408402139,37.70498641702579,37.70498641702579,37.70498641702579,37.70498641702579,37.70498641702579,37.70498641702579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shiga,2023-06-28_15h37.43.624,Pattern_1,2022.2.4,None,
slfT.xlsx,obsT.xlsx,testT.xlsx,0,3,1,1,47,18,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.70498641702579,37.70498641702579,37.70498641702579,37.70498641702579,39.73303937504534,39.73303937504534,39.73303937504534,39.73303937504534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shiga,2023-06-28_15h37.43.624,Pattern_1,2022.2.4,None,
slfT.xlsx,obsT.xlsx,testT.xlsx,0,1,1,1,38,22,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,39.73303937504534,40.20572920900304,40.20572920900304,40.20572920900304,left,0,4.485328206908889,44.747663792048115,44.747663792048115,44.747663792048115,44.747663792048115,45.74825937504647,45.74825937504647,45.74825937504647,45.74825937504647,45.74825937504647,45.74825937504647,45.74825937504647,45.74825937504647,45.74825937504647,45.74825937504647,left,1.1955652489559725,46.961093834019266,46.961093834019266,46.961093834019266,46.961093834019266,46.961093834019266,46.961093834019266,48.00289308401989,48.00289308401989,48.00289308401989,48.00289308401989,48.00289308401989,48.00289308401989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shiga,2023-06-28_15h37.43.624,Pattern_1,2022.2.4,None,
slfT.xlsx,obsT.xlsx,testT.xlsx,0,1,1,1,38,22,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00289308401989,48.00289308401989,48.00289308401989,48.00289308401989,50.04016712500015,50.04016712500015,50.04016712500015,50.04016712500015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shiga,2023-06-28_15h37.43.624,Pattern_1,2022.2.4,None,
slfT.xlsx,obsT.xlsx,testT.xlsx,0,3,2,2,37,47,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,,50.04016712500015,50.517328209010884,50.517328209010884,50.517328209010884,right,0,2.485190873965621,53.03603516705334,53.03603516705334,53.03603516705334,53.03603516705334,54.03342720901128,54.03342720901128,54.03342720901128,54.03342720901128,54.03342720901128,54.03342720901128,54.03342720901128,54.03342720901128,54.03342720901128,54.03342720901128,right,1.775211165950168,55.82824395905482,55.82824395905482,55.82824395905482,55.82824395905482,55.82824395905482,55.82824395905482,56.86300879204646,56.86300879204646,56.86300879204646,56.86300879204646,56.86300879204646,56.86300879204646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shiga,2023-06-28_15h37.43.624,Pattern_1,2022.2.4,None,
slfT.xlsx,obsT.xlsx,testT.xlsx,0,3,2,2,37,47,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.86300879204646,56.86300879204646,56.86300879204646,56.86300879204646,58.89611412503291,58.89611412503291,58.89611412503291,58.89611412503291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shiga,2023-06-28_15h37.43.624,Pattern_1,2022.2.4,None,
slfT.xlsx,obsT.xlsx,testT.xlsx,0,1,2,2,41,42,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,,,,58.89611412503291,59.37409904203378,59.37409904203378,59.37409904203378,left,0,1.7534639989607967,61.17364033404738,61.17364033404738,61.17364033404738,61.17364033404738,62.18393925001146,62.18393925001146,62.18393925001146,62.18393925001146,62.18393925001146,62.18393925001146,62.18393925001146,62.18393925001146,62.18393925001146,62.18393925001146,right,0.7194117489852943,62.91647054202622,62.91647054202622,62.91647054202622,62.91647054202622,62.91647054202622,62.91647054202622,64.00049633404706,64.00049633404706,64.00049633404706,64.00049633404706,64.00049633404706,64.00049633404706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shiga,2023-06-28_15h37.43.624,Pattern_1,2022.2.4,None,
slfT.xlsx,obsT.xlsx,testT.xlsx,0,1,2,2,41,42,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.00049633404706,64.00049633404706,64.00049633404706,64.00049633404706,66.0554253750015,66.0554253750015,66.0554253750015,66.0554253750015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shiga,2023-06-28_15h37.43.624,Pattern_1,2022.2.4,None,
slfT.xlsx,obsT.xlsx,testT.xlsx,0,2,1,1,52,35,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,0,0,0,0,,,,,,,,,,,,,,,,,,66.0554253750015,66.52239566703793,66.52239566703793,66.52239566703793,left,0,2.4335956659633666,68.99978854204528,68.99978854204528,68.99978854204528,68.99978854204528,69.99408520903671,69.99408520903671,69.99408520903671,69.99408520903671,69.99408520903671,69.99408520903671,69.99408520903671,69.99408520903671,69.99408520903671,69.99408520903671,right,1.2236637909663841,71.23964770900784,71.23964770900784,71.23964770900784,71.23964770900784,71.23964770900784,71.23964770900784,72.33569866704056,72.33569866704056,72.33569866704056,72.33569866704056,72.33569866704056,72.33569866704056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shiga,2023-06-28_15h37.43.624,Pattern_1,2022.2.4,None,
slfT.xlsx,obsT.xlsx,testT.xlsx,0,2,1,1,52,35,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.33569866704056,72.33569866704056,72.33569866704056,72.33569866704056,74.3719955420238,74.3719955420238,74.3719955420238,74.3719955420238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shiga,2023-06-28_15h37.43.624,Pattern_1,2022.2.4,None,
slfT.xlsx,obsT.xlsx,testT.xlsx,0,3,1,2,51,37,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,6,0,0,0,0,,,,,,,,,,,,,,,,,,74.3719955420238,74.85035412502475,74.85035412502475,74.85035412502475,right,0,2.572093665949069,77.44745312503073,77.44745312503073,77.44745312503073,77.44745312503073,78.44538362504682,78.44538362504682,78.44538362504682,78.44538362504682,78.44538362504682,78.44538362504682,78.44538362504682,78.44538362504682,78.44538362504682,78.44538362504682,left,1.441805123933591,79.90299941704143,79.90299941704143,79.90299941704143,79.90299941704143,79.90299941704143,79.90299941704143,80.9433001250145,80.9433001250145,80.9433001250145,80.9433001250145,80.9433001250145,80.9433001250145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shiga,2023-06-28_15h37.43.624,Pattern_1,2022.2.4,None,
slfT.xlsx,obsT.xlsx,testT.xlsx,0,3,1,2,51,37,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.9433001250145,80.9433001250145,80.9433001250145,80.9433001250145,82.99099000002025,82.99099000002025,82.99099000002025,82.99099000002025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shiga,2023-06-28_15h37.43.624,Pattern_1,2022.2.4,None,
slfT.xlsx,obsT.xlsx,testT.xlsx,0,2,2,1,32,47,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,7,0,0,0,0,,,,,,,,,,,,,,,,,,82.99099000002025,83.45748883404303,83.45748883404303,83.45748883404303,right,0,2.3242739569977857,85.82657395902788,85.82657395902788,85.82657395902788,85.82657395902788,86.82740512501914,86.82740512501914,86.82740512501914,86.82740512501914,86.82740512501914,86.82740512501914,86.82740512501914,86.82740512501914,86.82740512501914,86.82740512501914,left,2.111874623980839,88.95073925005272,88.95073925005272,88.95073925005272,88.95073925005272,88.95073925005272,88.95073925005272,89.99375687504653,89.99375687504653,89.99375687504653,89.99375687504653,89.99375687504653,89.99375687504653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shiga,2023-06-28_15h37.43.624,Pattern_1,2022.2.4,None,
slfT.xlsx,obsT.xlsx,testT.xlsx,0,2,2,1,32,47,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.99375687504653,89.99375687504653,89.99375687504653,89.99375687504653,92.03292225004407,92.03292225004407,92.03292225004407,92.03292225004407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shiga,2023-06-28_15h37.43.624,Pattern_1,2022.2.4,None,
slfT.xlsx,obsT.xlsx,testT.xlsx,0,1,1,2,34,42,,,,,,,,,,,,,,,,0,0,0,0,0,8,8,8,0,0,0,0,,,,,,,,,,,,,,,,,,92.03292225004407,92.50803458405426,92.50803458405426,92.50803458405426,right,0,1.7664826239342801,94.31539891700959,94.31539891700959,94.31539891700959,94.31539891700959,95.31334233400412,95.31334233400412,95.31334233400412,95.31334233400412,95.31334233400412,95.31334233400412,95.31334233400412,95.31334233400412,95.31334233400412,95.31334233400412,left,1.0593372489674948,96.38693625002634,96.38693625002634,96.38693625002634,96.38693625002634,96.38693625002634,96.38693625002634,97.45136304205516,97.45136304205516,97.45136304205516,97.45136304205516,97.45136304205516,97.45136304205516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shiga,2023-06-28_15h37.43.624,Pattern_1,2022.2.4,None,
slfT.xlsx,obsT.xlsx,testT.xlsx,0,1,1,2,34,42,,,,,,,,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.45136304205516,97.45136304205516,97.45136304205516,97.45136304205516,99.51819466700545,99.51819466700545,99.51819466700545,99.51819466700545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shiga,2023-06-28_15h37.43.624,Pattern_1,2022.2.4,None,
slfT.xlsx,obsT.xlsx,testT.xlsx,,,,,,,0,1,1,1,26,34,right,low,34,0.9084769056677844,0.6004941398057339,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.51819466700545,101.64420062501449,101.96756579203065,101.96756579203065,102.87383558403235,103.86765004205517,103.86765004205517,103.86765004205517,104.0581741250353,104.0581741250353,104.0581741250353,104.0581741250353,104.0581741250353,104.0581741250353,104.64178520900896,105.63335820904467,105.68350904202089,105.68350904202089,105.68350904202089,105.68350904202089,105.68350904202089,105.68350904202089,105.68350904202089,105.68350904202089,105.68350904202089,107.77480191702489,107.77480191702489,107.77480191702489,107.77480191702489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shiga,2023-06-28_15h37.43.624,Pattern_1,2022.2.4,None,
slfT.xlsx,obsT.xlsx,testT.xlsx,,,,,,,0,2,2,2,53,29,left,high,53,1.792387255069631,1.255269400704353,,,,,0,0,0,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.77480191702489,108.22367279202444,108.22367279202444,110.02484058402479,111.02308379200986,111.00594379199902,111.00594379199902,111.0580933340243,111.0580933340243,111.0580933340243,111.0580933340243,111.0580933340243,111.0580933340243,112.30070750002051,113.30076320900116,113.33247137500439,113.33247137500439,113.33247137500439,113.33247137500439,113.33247137500439,113.33247137500439,113.33247137500439,113.33247137500439,113.33247137500439,115.37203220900847,115.37203220900847,115.37203220900847,115.37203220900847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shiga,2023-06-28_15h37.43.624,Pattern_1,2022.2.4,None,
slfT.xlsx,obsT.xlsx,testT.xlsx,,,,,,,0,3,1,1,58,30,left,high,58,0.8111036124839661,0.7547224616694679,,,,,0,0,0,0,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.37203220900847,115.85083145904355,115.85083145904355,116.65779995900812,117.65106775000459,117.65609704202507,117.65609704202507,117.67756329203257,117.67756329203257,117.67756329203257,117.67756329203257,117.67756329203257,117.67756329203257,118.41685370902997,119.4081227920251,119.45429204200627,119.45429204200627,119.45429204200627,119.45429204200627,119.45429204200627,119.45429204200627,119.45429204200627,119.45429204200627,119.45429204200627,121.50383737502852,121.50383737502852,121.50383737502852,121.50383737502852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shiga,2023-06-28_15h37.43.624,Pattern_1,2022.2.4,None,
slfT.xlsx,obsT.xlsx,testT.xlsx,,,,,,,0,2,1,1,42,44,right,high,44,1.323353759925897,0.9140073463637473,,,,,0,0,0,0,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.50383737502852,121.974691792042,121.974691792042,123.3009990840219,124.2892496670247,124.2892496670247,124.2892496670247,124.32621625001775,124.32621625001775,124.32621625001775,124.32621625001775,124.32621625001775,124.32621625001775,125.22471175005194,126.22398150002118,126.25022741704015,126.25022741704015,126.25022741704015,126.25022741704015,126.25022741704015,126.25022741704015,126.25022741704015,126.25022741704015,126.25022741704015,128.29533579200506,128.29533579200506,128.29533579200506,128.29533579200506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shiga,2023-06-28_15h37.43.624,Pattern_1,2022.2.4,None,
slfT.xlsx,obsT.xlsx,testT.xlsx,,,,,,,0,1,2,1,38,22,right,low,22,0.8657769303559366,0.8282654323119303,,,,,0,0,0,0,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.29533579200506,128.76687200000742,128.76687200000742,129.64039320900338,130.63942754204618,130.62186612503137,130.62186612503137,130.65891079202993,130.65891079202993,130.65891079202993,130.65891079202993,130.65891079202993,130.65891079202993,131.47691395902075,132.4845432920265,132.51561920903623,132.51561920903623,132.51561920903623,132.51561920903623,132.51561920903623,132.51561920903623,132.51561920903623,132.51561920903623,132.51561920903623,134.5873558750027,134.5873558750027,134.5873558750027,134.5873558750027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shiga,2023-06-28_15h37.43.624,Pattern_1,2022.2.4,None,
