slf_file,obs_file,test_file,slf_condition,slf_pair_pat,slf_order_pat,slf_reward_left,slf_reward_right,obs_condition,obs_pair_pat,obs_order_pat,obs_pos_chosen,obs_conf,obs_reward,obs_img_time,obs_conf_time,test_condition,test_pair_pat,test_order_pat,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,SlfSequence.thisRepN,SlfSequence.thisTrialN,SlfSequence.thisN,SlfSequence.thisIndex,SlfSkip.thisRepN,SlfSkip.thisTrialN,SlfSkip.thisN,SlfSkip.thisIndex,ObsSequence.thisRepN,ObsSequence.thisTrialN,ObsSequence.thisN,ObsSequence.thisIndex,TestSequence.thisRepN,TestSequence.thisTrialN,TestSequence.thisN,TestSequence.thisIndex,TestSkip.thisRepN,TestSkip.thisTrialN,TestSkip.thisN,TestSkip.thisIndex,STANDBY_TEXT.started,STANDBY_RESP.started,STANDBY_RESP.keys,STANDBY_RESP.rt,SLF_INSTR.started,SLF_FIX1.started,SLF_IMG_LEFT.started,SLF_IMG_RIGHT.started,SLF_IMG_RESP.started,SLF_IMG_LEFT.stopped,SLF_IMG_RIGHT.stopped,SLF_IMG_RESP.stopped,SLF_FIX1.stopped,SLF_IMG_RESP.keys,SLF_IMG_RESP.corr,SLF_FIX2.started,SLF_IMGFB_FRAME.started,SLF_IMGFB_IMG_LEFT.started,SLF_IMGFB_IMG_RIGHT.started,SLF_FIX2.stopped,SLF_IMGFB_FRAME.stopped,SLF_IMGFB_IMG_LEFT.stopped,SLF_IMGFB_IMG_RIGHT.stopped,SLF_REWARD_FRAME.started,SLF_REWARD_IMG_LEFT.started,SLF_REWARD_IMG_RIGHT.started,SLF_REWARD_TEXT.started,SLF_REWARD_FRAME.stopped,SLF_REWARD_IMG_LEFT.stopped,SLF_REWARD_IMG_RIGHT.stopped,SLF_REWARD_TEXT.stopped,OBS_INSTR.started,OBS_FIX.started,OBS_IMG_LEFT.started,OBS_IMG_RIGHT.started,OBS_IMGFB_FRAME.started,OBS_IMGFB_FRAME.stopped,OBS_IMG_LEFT.stopped,OBS_IMG_RIGHT.stopped,OBS_FIX.stopped,OBS_CONF_LOW_BOX.started,OBS_CONF_LOW_TEXT.started,OBS_CONF_HIGH_BOX.started,OBS_CONF_HIGH_TEXT.started,OBS_CONFFB_FRAME.started,OBS_CONFFB_FRAME.stopped,OBS_CONF_LOW_BOX.stopped,OBS_CONF_LOW_TEXT.stopped,OBS_CONF_HIGH_BOX.stopped,OBS_CONF_HIGH_TEXT.stopped,OBS_REWARD_FRAME.started,OBS_REWARD_IMG_LEFT.started,OBS_REWARD_IMG_RIGHT.started,OBS_REWARD_TEXT.started,OBS_REWARD_FRAME.stopped,OBS_REWARD_IMG_LEFT.stopped,OBS_REWARD_IMG_RIGHT.stopped,OBS_REWARD_TEXT.stopped,TEST_INSTR.started,TEST_FIX1.started,TEST_IMG_LEFT.started,TEST_IMG_RIGHT.started,TEST_IMG_RESP.started,TEST_IMG_LEFT.stopped,TEST_IMG_RIGHT.stopped,TEST_IMG_RESP.stopped,TEST_FIX1.stopped,TEST_IMG_RESP.keys,TEST_IMG_RESP.corr,TEST_FIX2.started,TEST_IMGFB_FRAME.started,TEST_IMGFB_IMG_LEFT.started,TEST_IMGFB_IMG_RIGHT.started,TEST_FIX2.stopped,TEST_IMGFB_FRAME.stopped,TEST_IMGFB_IMG_LEFT.stopped,TEST_IMGFB_IMG_RIGHT.stopped,TEST_REWARD_FRAME.started,TEST_REWARD_IMG_LEFT.started,TEST_REWARD_IMG_RIGHT.started,TEST_REWARD_TEXT.started,TEST_REWARD_FRAME.stopped,TEST_REWARD_IMG_LEFT.stopped,TEST_REWARD_IMG_RIGHT.stopped,TEST_REWARD_TEXT.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.871412958018482,12.871412958018482,space,1.0078919159714133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testd,2023-06-23_19h47.03.653,Pattern_1,2022.2.4,None,
slf11.xlsx,obs14.xlsx,test11.xlsx,0,1,1,30,40,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,16.915072708041407,18.94889812503243,18.996204458002467,18.996204458002467,18.996204458002467,19.094888833002187,19.094888833002187,19.094888833002187,19.21568575000856,None,0,19.21568575000856,19.21568575000856,19.21568575000856,19.21568575000856,19.328473500034306,19.328473500034306,19.328473500034306,19.328473500034306,19.328473500034306,19.328473500034306,19.328473500034306,19.328473500034306,19.439010125002824,19.439010125002824,19.439010125002824,19.439010125002824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testd,2023-06-23_19h47.03.653,Pattern_1,2022.2.4,None,
slf11.xlsx,obs14.xlsx,test11.xlsx,0,2,2,50,40,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,19.439010125002824,19.511515042046085,19.511515042046085,19.511515042046085,19.609028875012882,19.609028875012882,19.609028875012882,19.638028000015765,None,0,19.638028000015765,19.638028000015765,19.638028000015765,19.638028000015765,19.74130704201525,19.74130704201525,19.74130704201525,19.74130704201525,19.74130704201525,19.74130704201525,19.74130704201525,19.74130704201525,19.852945292019285,19.852945292019285,19.852945292019285,19.852945292019285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testd,2023-06-23_19h47.03.653,Pattern_1,2022.2.4,None,
slf11.xlsx,obs14.xlsx,test11.xlsx,0,3,1,50,30,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,19.852945292019285,19.928546708018985,19.928546708018985,19.928546708018985,20.025730082998052,20.025730082998052,20.025730082998052,20.054726542031858,None,0,20.054726542031858,20.054726542031858,20.054726542031858,20.054726542031858,20.154903250047937,20.154903250047937,20.154903250047937,20.154903250047937,20.154903250047937,20.154903250047937,20.154903250047937,20.154903250047937,20.271156167029403,20.271156167029403,20.271156167029403,20.271156167029403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testd,2023-06-23_19h47.03.653,Pattern_1,2022.2.4,None,
slf11.xlsx,obs14.xlsx,test11.xlsx,0,2,1,40,50,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,20.271156167029403,20.344860375043936,20.344860375043936,20.344860375043936,20.442363333015237,20.442363333015237,20.442363333015237,20.4714789170539,None,0,20.4714789170539,20.4714789170539,20.4714789170539,20.4714789170539,20.57164537505014,20.57164537505014,20.57164537505014,20.57164537505014,20.57164537505014,20.57164537505014,20.57164537505014,20.57164537505014,20.68779550003819,20.68779550003819,20.68779550003819,20.68779550003819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testd,2023-06-23_19h47.03.653,Pattern_1,2022.2.4,None,
slf11.xlsx,obs14.xlsx,test11.xlsx,0,1,2,40,30,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,20.68779550003819,20.761397125024814,20.761397125024814,20.761397125024814,20.85905662504956,20.85905662504956,20.85905662504956,20.88888612500159,None,0,20.88888612500159,20.88888612500159,20.88888612500159,20.88888612500159,20.988914042012766,20.988914042012766,20.988914042012766,20.988914042012766,20.988914042012766,20.988914042012766,20.988914042012766,20.988914042012766,21.10515129205305,21.10515129205305,21.10515129205305,21.10515129205305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testd,2023-06-23_19h47.03.653,Pattern_1,2022.2.4,None,
slf11.xlsx,obs14.xlsx,test11.xlsx,0,3,2,30,50,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,21.10515129205305,21.192408208036795,21.192408208036795,21.192408208036795,21.278154458035715,21.278154458035715,21.278154458035715,21.304512417002115,None,0,21.304512417002115,21.304512417002115,21.304512417002115,21.304512417002115,21.405631625035312,21.405631625035312,21.405631625035312,21.405631625035312,21.405631625035312,21.405631625035312,21.405631625035312,21.405631625035312,21.52347054204438,21.52347054204438,21.52347054204438,21.52347054204438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testd,2023-06-23_19h47.03.653,Pattern_1,2022.2.4,None,
slf11.xlsx,obs14.xlsx,test11.xlsx,0,1,1,30,40,,,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,21.52347054204438,21.60899200005224,21.60899200005224,21.60899200005224,21.694934667029884,21.694934667029884,21.694934667029884,21.72206483304035,None,0,21.72206483304035,21.72206483304035,21.72206483304035,21.72206483304035,21.822239292028826,21.822239292028826,21.822239292028826,21.822239292028826,21.822239292028826,21.822239292028826,21.822239292028826,21.822239292028826,21.93920116702793,21.93920116702793,21.93920116702793,21.93920116702793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testd,2023-06-23_19h47.03.653,Pattern_1,2022.2.4,None,
slf11.xlsx,obs14.xlsx,test11.xlsx,0,3,1,50,30,,,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,21.93920116702793,22.02549575001467,22.02549575001467,22.02549575001467,22.111524250009097,22.111524250009097,22.111524250009097,22.137825958023313,None,0,22.137825958023313,22.137825958023313,22.137825958023313,22.137825958023313,22.238624958030414,22.238624958030414,22.238624958030414,22.238624958030414,22.238624958030414,22.238624958030414,22.238624958030414,22.238624958030414,22.35586825001519,22.35586825001519,22.35586825001519,22.35586825001519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testd,2023-06-23_19h47.03.653,Pattern_1,2022.2.4,None,
slf11.xlsx,obs14.xlsx,test11.xlsx,0,2,2,50,40,,,,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,22.35586825001519,22.442477667005733,22.442477667005733,22.442477667005733,22.528192625031807,22.528192625031807,22.528192625031807,22.554609167040326,None,0,22.554609167040326,22.554609167040326,22.554609167040326,22.554609167040326,22.654789082997013,22.654789082997013,22.654789082997013,22.654789082997013,22.654789082997013,22.654789082997013,22.654789082997013,22.654789082997013,22.779073625046294,22.779073625046294,22.779073625046294,22.779073625046294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testd,2023-06-23_19h47.03.653,Pattern_1,2022.2.4,None,
slf11.xlsx,obs14.xlsx,test11.xlsx,,,,,,0,1,1,left,low,0,0.1,0.1,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.779073625046294,24.7866143330466,24.8589536670479,24.8589536670479,24.958984875003807,25.044718667049892,25.044718667049892,25.044718667049892,25.079327833023854,25.079327833023854,25.079327833023854,25.079327833023854,25.079327833023854,25.16197837505024,25.25900395802455,25.292606458009686,25.292606458009686,25.292606458009686,25.292606458009686,25.292606458009686,25.292606458009686,25.292606458009686,25.292606458009686,25.410470917006023,25.410470917006023,25.410470917006023,25.410470917006023,,,,,,,,,,,,,,,,,,,,,,,,,,,,testd,2023-06-23_19h47.03.653,Pattern_1,2022.2.4,None,
slf11.xlsx,obs14.xlsx,test11.xlsx,,,,,,0,2,2,right,high,0,0.1,0.1,,,,0,0,0,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.410470917006023,25.49476587504614,25.49476587504614,25.594890458043665,25.692458250035997,25.692458250035997,25.692458250035997,25.709136167017277,25.709136167017277,25.709136167017277,25.709136167017277,25.709136167017277,25.792269042052794,25.87823529203888,25.90611425001407,25.90611425001407,25.90611425001407,25.90611425001407,25.90611425001407,25.90611425001407,25.90611425001407,25.90611425001407,26.024177625018638,26.024177625018638,26.024177625018638,26.024177625018638,,,,,,,,,,,,,,,,,,,,,,,,,,,,testd,2023-06-23_19h47.03.653,Pattern_1,2022.2.4,None,
slf11.xlsx,obs14.xlsx,test11.xlsx,,,,,,0,3,1,left,low,0,0.1,0.1,,,,0,0,0,0,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.024177625018638,26.111291958019137,26.111291958019137,26.21140158304479,26.3090087500168,26.3090087500168,26.3090087500168,26.31197333300952,26.31197333300952,26.31197333300952,26.31197333300952,26.31197333300952,26.395085958007257,26.492347958032042,26.508892000012565,26.508892000012565,26.508892000012565,26.508892000012565,26.508892000012565,26.508892000012565,26.508892000012565,26.508892000012565,26.626552833011374,26.626552833011374,26.626552833011374,26.626552833011374,,,,,,,,,,,,,,,,,,,,,,,,,,,,testd,2023-06-23_19h47.03.653,Pattern_1,2022.2.4,None,
slf11.xlsx,obs14.xlsx,test11.xlsx,,,,,,0,2,1,right,high,0,0.1,0.1,,,,0,0,0,0,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.626552833011374,26.711542917008046,26.711542917008046,26.811515458044596,26.909025708038826,26.909025708038826,26.909025708038826,26.91189954202855,26.91189954202855,26.91189954202855,26.91189954202855,26.91189954202855,26.995111875003204,27.0922914170078,27.10883612500038,27.10883612500038,27.10883612500038,27.10883612500038,27.10883612500038,27.10883612500038,27.10883612500038,27.10883612500038,27.226902207999956,27.226902207999956,27.226902207999956,27.226902207999956,,,,,,,,,,,,,,,,,,,,,,,,,,,,testd,2023-06-23_19h47.03.653,Pattern_1,2022.2.4,None,
slf11.xlsx,obs14.xlsx,test11.xlsx,,,,,,0,1,2,left,low,0,0.1,0.1,,,,0,0,0,0,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.226902207999956,27.311450875014998,27.311450875014998,27.4121279999963,27.509021625039168,27.509021625039168,27.509021625039168,27.52564850001363,27.52564850001363,27.52564850001363,27.52564850001363,27.52564850001363,27.608941958053038,27.695334875024855,27.72201083303662,27.72201083303662,27.72201083303662,27.72201083303662,27.72201083303662,27.72201083303662,27.72201083303662,27.72201083303662,27.842683333030436,27.842683333030436,27.842683333030436,27.842683333030436,,,,,,,,,,,,,,,,,,,,,,,,,,,,testd,2023-06-23_19h47.03.653,Pattern_1,2022.2.4,None,
slf11.xlsx,obs14.xlsx,test11.xlsx,,,,,,0,3,2,right,high,0,0.1,0.1,,,,0,0,0,0,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.842683333030436,27.928368207998574,27.928368207998574,28.028151417034678,28.12550275004469,28.12550275004469,28.12550275004469,28.12838566704886,28.12838566704886,28.12838566704886,28.12838566704886,28.12838566704886,28.211761208018288,28.30889300000854,28.325548208027612,28.325548208027612,28.325548208027612,28.325548208027612,28.325548208027612,28.325548208027612,28.325548208027612,28.325548208027612,28.444594375032466,28.444594375032466,28.444594375032466,28.444594375032466,,,,,,,,,,,,,,,,,,,,,,,,,,,,testd,2023-06-23_19h47.03.653,Pattern_1,2022.2.4,None,
slf11.xlsx,obs14.xlsx,test11.xlsx,,,,,,0,1,1,left,low,0,0.1,0.1,,,,0,0,0,0,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.444594375032466,28.528515958052594,28.528515958052594,28.6285858330084,28.725702167022973,28.725702167022973,28.725702167022973,28.742283041996416,28.742283041996416,28.742283041996416,28.742283041996416,28.742283041996416,28.825639125017915,28.911423917044885,28.938370917050634,28.938370917050634,28.938370917050634,28.938370917050634,28.938370917050634,28.938370917050634,28.938370917050634,28.938370917050634,29.060284250008408,29.060284250008408,29.060284250008408,29.060284250008408,,,,,,,,,,,,,,,,,,,,,,,,,,,,testd,2023-06-23_19h47.03.653,Pattern_1,2022.2.4,None,
slf11.xlsx,obs14.xlsx,test11.xlsx,,,,,,0,3,1,right,high,0,0.1,0.1,,,,0,0,0,0,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.060284250008408,29.144766417040955,29.144766417040955,29.24535091704456,29.342440208012704,29.342440208012704,29.342440208012704,29.35893616703106,29.35893616703106,29.35893616703106,29.35893616703106,29.35893616703106,29.442338458029553,29.528623958001845,29.55422620801255,29.55422620801255,29.55422620801255,29.55422620801255,29.55422620801255,29.55422620801255,29.55422620801255,29.55422620801255,29.679679625027347,29.679679625027347,29.679679625027347,29.679679625027347,,,,,,,,,,,,,,,,,,,,,,,,,,,,testd,2023-06-23_19h47.03.653,Pattern_1,2022.2.4,None,
slf11.xlsx,obs14.xlsx,test11.xlsx,,,,,,0,2,2,left,low,0,0.1,0.1,,,,0,0,0,0,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.679679625027347,29.762064667011146,29.762064667011146,29.861780417035334,29.958950708038174,29.958950708038174,29.958950708038174,29.978455500036944,29.978455500036944,29.978455500036944,29.978455500036944,29.978455500036944,30.061843000003137,30.158820583019406,30.175431167008355,30.175431167008355,30.175431167008355,30.175431167008355,30.175431167008355,30.175431167008355,30.175431167008355,30.175431167008355,30.30296066700248,30.30296066700248,30.30296066700248,30.30296066700248,,,,,,,,,,,,,,,,,,,,,,,,,,,,testd,2023-06-23_19h47.03.653,Pattern_1,2022.2.4,None,
slf11.xlsx,obs14.xlsx,test11.xlsx,,,,,,,,,,,,,,1,1,1,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.30296066700248,32.31819837499643,32.378342125040945,32.378342125040945,32.378342125040945,32.47559883299982,32.47559883299982,32.47559883299982,32.52455183304846,None,0,32.52455183304846,32.52455183304846,32.52455183304846,32.52455183304846,32.625893542019185,32.625893542019185,32.625893542019185,32.625893542019185,32.625893542019185,32.625893542019185,32.625893542019185,32.625893542019185,32.746882208040915,32.746882208040915,32.746882208040915,32.746882208040915,testd,2023-06-23_19h47.03.653,Pattern_1,2022.2.4,None,
slf11.xlsx,obs14.xlsx,test11.xlsx,,,,,,,,,,,,,,1,1,2,0,0,0,0,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.746882208040915,32.82836320804199,32.82836320804199,32.82836320804199,32.92561045801267,32.92561045801267,32.92561045801267,32.955425292020664,None,0,32.955425292020664,32.955425292020664,32.955425292020664,32.955425292020664,33.055486333032604,33.055486333032604,33.055486333032604,33.055486333032604,33.055486333032604,33.055486333032604,33.055486333032604,33.055486333032604,33.17960516700987,33.17960516700987,33.17960516700987,33.17960516700987,testd,2023-06-23_19h47.03.653,Pattern_1,2022.2.4,None,
slf11.xlsx,obs14.xlsx,test11.xlsx,,,,,,,,,,,,,,1,2,1,0,0,0,0,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.17960516700987,33.26163641700987,33.26163641700987,33.26163641700987,33.35898741701385,33.35898741701385,33.35898741701385,33.38843670801725,None,0,33.38843670801725,33.38843670801725,33.38843670801725,33.38843670801725,33.48825916700298,33.48825916700298,33.48825916700298,33.48825916700298,33.48825916700298,33.48825916700298,33.48825916700298,33.48825916700298,33.61393604200566,33.61393604200566,33.61393604200566,33.61393604200566,testd,2023-06-23_19h47.03.653,Pattern_1,2022.2.4,None,
slf11.xlsx,obs14.xlsx,test11.xlsx,,,,,,,,,,,,,,1,2,2,0,0,0,0,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.61393604200566,33.695205292024184,33.695205292024184,33.695205292024184,33.7922772919992,33.7922772919992,33.7922772919992,33.82142675004434,None,0,33.82142675004434,33.82142675004434,33.82142675004434,33.82142675004434,33.9216058330494,33.9216058330494,33.9216058330494,33.9216058330494,33.9216058330494,33.9216058330494,33.9216058330494,33.9216058330494,34.13820129202213,34.13820129202213,34.13820129202213,34.13820129202213,testd,2023-06-23_19h47.03.653,Pattern_1,2022.2.4,None,
slf11.xlsx,obs14.xlsx,test11.xlsx,,,,,,,,,,,,,,1,3,1,0,0,0,0,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.13820129202213,34.22551037505036,34.22551037505036,34.22551037505036,34.312035875045694,34.312035875045694,34.312035875045694,34.33794195804512,None,0,34.33794195804512,34.33794195804512,34.33794195804512,34.33794195804512,34.438391875009984,34.438391875009984,34.438391875009984,34.438391875009984,34.438391875009984,34.438391875009984,34.438391875009984,34.438391875009984,34.56471775000682,34.56471775000682,34.56471775000682,34.56471775000682,testd,2023-06-23_19h47.03.653,Pattern_1,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.56471775000682,34.64486195804784,34.64486195804784,34.64486195804784,34.74225725000724,34.74225725000724,34.74225725000724,34.77144983300241,None,0,34.77144983300241,34.77144983300241,34.77144983300241,34.77144983300241,,,,,,,,,,,,,,,,,,
